"name1","name2","street1","street2","city","state","zip","zip4","county","phone","intake_prompt","intake1","intake2","website","latitude","longitude","type_facility","mh","psy","rtcc","rtca","ores","ph","omh","cmhc","msmh","ipt","cft","gt","cbt","dbt","bmt","idd","tt","at","ect","tele","smon","smpd","smop","hi","res","phdt","op","vamc","sma","osg","lmg","tbg","ih","sf","md","mc","si","pi","mi","smha","swfs","scjj","sef","osf","clf","csbg","cmhg","vaf","cit","wi","ss","pa","ah","sp","co","gl","vet","adm","mf","cj","se","hv","trma","sed","smi","alz","ptsd","tbi","tay","ped","act","icm","cm","cdm","peer","coot","dec","es","fpsy","hs","imr","ipc","lad","nrt","nsc","prs","stu","sps","semp","sh","tpc","tcc","vrs","chld","yad","adlt","snr","itu","pvtp","pvtn","fqhc","vo","sumh","ccbhc","chlor","drope","fluph","halop","loxap","perph","pimoz","proch","thiot","thior","trifl","aripi","asena","brexp","carip","cloza","ilope","luras","olanz","olanzf","palip","queti","rispe","zipra","crt","emdr","kit","tms","peon","peoff","fg","pcf","dv","pefp","hivt","shb","shc","stdt","tbs","aot","ptm","msnh","f17","f19","f25","f28","f30","f31","f35","f36","f37","f4","f42","f43","f47","f66","f67","f70","f81","f92","n13","n18","n23","n24","n40"
"Harvest Outreach Center Inc","","410 Maddox Road","","Gladys","VA","24554","","Campbell","434-283-5340","","","","http://www.harvestoutreachva.org","37.103664","-79.042612","MH","1","","","","","","1","","","1","1","1","1","1","1","1","1","1","","","1","","","","","","1","","","","","","","","1","","","","","","1","","","","1","","","","","","","","","","1","","","","","","","","1","1","","","1","","","","","","","","","","1","1","1","","","","","","","1","1","1","","","","","","1","1","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Madeline Centre","","18697 Forest Road","","Lynchburg","VA","24502","","Lynchburg City","434-239-0003","","","","http://www.madelinecentre.com","37.384861","-79.241471","MH","1","","","","","","1","","","1","","","1","","1","","1","1","","","","1","","","","1","1","","","","","","","1","1","","","1","","","1","1","1","","1","","","","","","","1","","","1","1","","","","1","1","","1","1","1","","1","1","1","1","","","1","","","1","","","1","","","","","","","1","","","","","","1","","1","1","1","1","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Family Preservation Services","Lynchburg Office","18321 Forest Road","","Lynchburg","VA","24502","","Lynchburg City","434-528-9711","","","","http://fpscorp.com/","37.3816194","-79.24604","MH","1","","","","","","1","","","1","1","1","1","1","1","","1","1","","","1","","","","","","1","","","","","","","1","1","","1","1","1","1","1","1","","1","1","","","","1","","","","","","","","","","","","1","","1","1","1","","1","1","1","","","","","","","1","","","1","","","","","","","","","1","","","","","","1","1","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Region Ten Community Services Board","Fluvanna County","13623 James Madison Highway","","Palmyra","VA","22963","","Fluvanna","434-589-8276","","","","http://www.regionten.org/","37.8620499","-78.2637883","MH","1","","","","","","","1","","1","","1","1","1","","1","1","","","1","1","","","","","1","1","","","","1","","","1","1","1","1","1","1","1","1","1","1","","1","1","1","","1","1","1","","","","","","","","","","","","","1","1","","","","","","","1","1","","","1","","","","","","","","","","","1","1","","","","","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Region Ten Community Services Board","Children and Family Services","500 Old Lynchburg Road","","Charlottesville","VA","22903","","Charlottesville City","434-972-1800","","","","http://www.regionten.org","38.007559","-78.520124","MH","1","","","","","","","1","","1","1","","1","","1","","1","","","1","1","","","","","1","1","","","","1","","","1","1","","1","1","1","1","1","1","","1","","","","","1","1","1","","","1","","","","","","","","","","1","","","","","","","","1","1","","","1","","","1","","","","","","","","1","1","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Goochland Powhatan Comm Servs Board","Clinical Services","3910 Old Buckingham Road","","Powhatan","VA","23139","5757","Powhatan","804-598-2200","","","","http://www.gpcsb.org","37.5446087","-77.9191114","MH","1","","","","","","","1","","1","","1","1","1","1","1","1","","","","","1","","","","","1","","","","1","","","1","1","1","1","1","1","1","","","","","1","","1","","1","1","1","1","1","","1","","","","","","","","1","1","1","","1","","","","","","1","","","1","","","","","","","","","","1","1","1","","","","","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Empowering Families Program","","901 Preston Avenue","Suite 201","Charlottesville","VA","22903","","Charlottesville City","434-971-8454","","","","http://www.empoweringfamiliesprogram.com","38.0374836","-78.488558","MH","1","","","","","","","1","","1","1","1","1","","1","1","1","1","","1","","1","","","","1","1","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","1","1","1","1","","1","","","","","","","1","","","","1","","1","1","1","1","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UVA Child/Adolescent Psychiatry Clinic","Department of Psychiatric Medicine","310 Old Ivy Way","Suite 104","Charlottesville","VA","22903","","Charlottesville City","434-243-6950","","","","http://uvahealth.com/","38.0464953","-78.517854","MH","1","","","","","","1","","","1","","1","","","","","","","","","1","","","","","","1","","","","","","","1","1","1","1","1","1","1","1","1","","","1","","","1","","","1","1","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Goochland Powhatan Comm Servs Board","","3058 River Road West","","Goochland","VA","23063","","Goochland","804-556-5400","","","","http://www.gpcsb.org/","37.6917162","-77.8838438","MH","1","","","","","","","1","","1","","1","1","1","1","1","1","","","","","1","","","","","1","","","","1","","","1","1","1","1","1","1","1","","","","","1","","1","","1","1","1","1","1","","1","","","","","","","","1","1","1","","1","","","","","","1","","","1","","","","","","","","","","1","1","1","","","","","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Horizon Behavioral Health","Bedford Wellness Center","1409 Ole Dominion Boulevard","","Bedford","VA","24523","","Bedford City","540-586-5429","","434-847-8035","","http://www.horizonbh.org","37.336584","-79.4958445","MH","1","","","","","","1","","","1","","1","1","","","1","","","","","1","","","","","","1","","","1","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","","","","1","","1","","","","","","","","1","1","1","","","","","","","","1","","","1","","","","","1","","","","1","","","","","","","","","1","1","1","1","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Rockbridge Area Community Servs Board","","241 Greenhouse Road","","Lexington","VA","24450","3717","Lexington City","540-463-3141","","","855-222-2046","http://www.racsb.org","37.8034988","-79.4254311","MH","1","","","","","","","1","","1","1","1","1","","1","1","1","","","1","","1","","","","","1","","","1","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","","1","","","","","","","","1","1","1","","","","","","","1","1","","1","1","","","1","1","","1","","","","","1","1","","","","","","1","1","1","1","1","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Danville Pittsylvania Community Servs","(DPCS) Gretna Location","111 Center Street","","Gretna","VA","24557","","Pittsylvania","434-799-0456","","434-793-4922","","http://www.dpcs.org","36.9532019","-79.3615379","MH","1","","","","","","","1","","","","1","","","","1","","","","1","1","","","","","","1","","","","1","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Southside Community Services Board","Halifax Behavioral Health","424 Hamilton Boulevard","","South Boston","VA","24592","","Halifax","434-572-6916","","434-572-2936","","http://www.sscsb.org","36.7147495","-78.9143853","MH","1","","","","","","","1","","1","1","1","","","","1","","","","1","","1","","","","","1","","","","1","","","1","1","1","1","1","1","1","","","","1","1","1","1","","1","1","1","","","","1","","","","","","","","","","","","","","","","","","1","","1","1","","","","","","","","","","","1","1","","","","","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Valley Community Services Board","","85 Sangers Lane","","Staunton","VA","24401","","Staunton City","540-887-3200","","","","http://www.myvalleycsb.org","38.128134","-79.030774","MH","1","","","","","","","1","","1","1","1","1","","","1","1","","","1","","1","","","","","1","","","","1","","","1","1","1","","1","1","1","","","","1","1","","1","","1","1","","","1","1","","","","","","","","","","1","1","","","","","","1","1","1","","","1","","","1","","","","","","","1","","1","","1","","","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Sentara Halifax Behavioral Health","","504 Wilborn Avenue","","South Boston","VA","24592","","Halifax","434-517-3651","","","","http://www.sentara.com/halifax-southern-virginia/medicalservices/services/behavioral-health.aspx","36.6988835","-78.9016607","MH","1","","","","","","1","","","1","1","1","1","1","1","1","","","","1","1","","","","","1","1","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","1","","1","","1","","","","","1","","","","","","","","","","","","","","1","","1","1","1","1","","1","","","","","","","","","","","","","1","1","1","1","","","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Region Ten Community Services Board","Louisa Counseling Services","101 Ashley Street","","Louisa","VA","23093","","Louisa","540-967-2880","","","","http://www.regionten.org","38.0228004","-78.0030824","MH","1","","","","","","","1","","1","","1","1","1","","1","1","","","1","1","","","","","1","1","","","","1","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","","","1","1","","","","","","","1","1","","","1","","","","","","","","","","","1","","","1","","","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Liberty Point Behavioral Healthcare","","1110 Montgomery Avenue","","Staunton","VA","24401","","Staunton City","540-213-0450","","800-496-7941","","http://libertypointstaunton.com","38.141004","-79.0944899","MH","1","","1","","","","","","","1","1","1","1","","1","1","1","1","","1","1","","","","1","","","","","","","","","1","1","","1","1","1","1","1","1","1","","1","","","","1","","","","1","","","","","","1","","","","1","1","","","1","","","","","","1","","","","1","1","1","","","1","","","","","","1","","","","","1","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Hallmark Youthcare","","12800 West Creek Parkway","","Henrico","VA","23238","","Henrico","804-784-2200","","804-784-6432","","http://www.hallmarkyouthcare.org/","37.6108894","-77.6674969","MH","1","","1","","","","","","","1","1","1","1","1","1","1","1","1","","1","1","","","","1","","","","","","","","","1","1","","","1","","1","","1","1","1","1","","","","","","","","","","1","","","","","1","","","1","1","","","","","","","","1","1","","","","1","1","1","","","1","","","","1","","","","","","","","1","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Fair Winds","","104 East 5th Street","","Mineral","VA","23117","","Louisa","540-894-0930","Intakes","804-556-2282","540-872-4470","http://www.FairWindsRTC.org","38.0059562","-77.9077568","MH","1","","1","","","","","","","1","1","1","1","","1","1","1","1","","1","1","","","","1","","","","","","","","","1","1","","1","1","","1","1","","1","1","1","","","","1","","","","","1","","","","","","","","","1","1","","","1","","","","","1","1","","","","1","1","1","","","","","","","","","1","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Family Preservation Services","Richmond","804 Moorefield Park Drive","Suite 108","Richmond","VA","23236","","Chesterfield","804-231-1350","","","","http://www.fpscorp.com","37.5014294","-77.5808526","MH","1","","","","","","","","","1","1","","1","","1","","1","","","","","1","","","","","1","","","","","","","1","1","","","1","","","1","","","1","","","","","1","","","1","","","","","","","","","","","","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
"Region Ten Community Services Board","Greene County Office","9963 Spotswood Trail","","Stanardsville","VA","22973","","Greene","434-985-5220","","","","http://regionten.org","38.2864185","-78.4183309","MH","1","","","","","","","1","","1","","1","1","1","","1","1","","","1","1","","","","","1","1","","","","1","","","1","1","1","1","1","1","1","","1","","1","1","1","1","","1","1","1","","","","","","","","","","","","","1","1","","","","","","","1","1","","","1","","","","","","","","","","","1","1","","","","","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Family Insight","Richmond","7113 Three Chopt Road","Suite 301","Richmond","VA","23226","","Richmond City","804-562-9997","","","","http://familyinsight.net","37.5928428","-77.5322686","MH","1","","","","","","","1","","1","1","1","1","1","1","1","1","","","1","","1","","","","","1","","","","","","","1","1","","1","1","1","1","1","1","","","1","","","","1","1","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","","","","","1","","1","","","1","","1","","","","","","","","","","","","","1","1","1","1","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chesterfield Community Services Board","","6801 Lucy Corr Boulevard","","Chesterfield","VA","23832","","Chesterfield","804-748-1227","","804-768-7318","","http://www.chesterfield.gov","37.3823369","-77.505999","MH","1","","","","","","","1","","1","","1","1","1","1","1","1","","","","","1","","","","","1","","","","1","","","1","1","1","1","1","1","1","1","","","","1","1","1","1","1","","","","1","1","1","","","","","","","","","","","","","","","","1","1","1","","1","1","","","1","","","1","","","","1","1","1","1","1","","","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Dinwiddie Counseling Services","","13900 Courthouse Road","Suite C","Dinwiddie","VA","23841","","Dinwiddie","804-469-3746","","","","http://d19csb.com","37.0807326","-77.5850965","MH","1","","","","","","","1","","","","","","","","","","","","","","1","","","","","1","","1","","","","","1","1","1","","","","1","1","","","","1","1","1","","1","","1","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","1","1","1","1","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Dominion Outpatient Services","","2004 Bremo Road","Suite 201","Richmond","VA","23226","","Richmond City","804-272-2000","","","","http://www.dominionyouthservices.com","37.5902472","-77.5081465","MH","1","","","","","","1","","","1","1","1","1","1","1","1","1","1","","","","1","","","","","1","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","","1","1","","","","","","","","","","","","1","","","","","","1","1","1","1","","","1","","","","","","","","","1","","","","","","1","1","1","1","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"First Home Care","Richmond","5516 Falmouth Street","Suite 202","Richmond","VA","23230","","Henrico","804-358-8737","","","800-516-1918","http://www.firsthomecare.com","37.6015755","-77.5077866","MH","1","","","","","","","1","","1","1","","1","","1","1","1","1","","1","","1","","","","","1","","","","","","","1","1","1","1","1","1","1","1","1","1","","1","1","1","","1","","","","","1","","1","","","","","","","1","1","1","","1","","","","","","1","","","1","","","1","","","","","","","","","1","","","1","","","1","1","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Virginia Family Services","","4912 West Marshall Street","Suite C","Richmond","VA","23230","","Henrico","804-313-6767","","","","http://www.virginiafamilyservices.com","37.5848523","-77.4951446","MH","1","","","","","","","1","","1","1","","1","","","","","","","1","","1","","","","","1","","","","","","","1","1","","1","","","1","","1","","1","","","","","","","","","","","1","1","","","1","1","1","1","1","1","1","","1","","1","1","","","1","","","","","","1","","","","","","","","","","","","","","","1","1","1","1","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brunswick Behavioral Health Center","Southside Community Services Board","2087 Lawrenceville Plank Road","","Lawrenceville","VA","23868","","Brunswick","434-848-4121","","","","http://www.sscsb.org","36.7665465","-77.8305805","MH","1","","","","","","","1","","1","1","1","","","","1","","","","1","","1","","","","","1","","","","1","","","1","1","1","1","1","1","1","","","","1","1","1","1","","1","1","1","","","","1","","","","","","","","","","","","","","","","","","1","","1","1","","","","","","","","","","","1","1","","","","","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"United Methodist Family Services","Child and Family Healing Center","3900 West Broad Street","","Richmond","VA","23230","","Henrico","804-353-4461 x1100","","855-275-8637","","http://www.umfs.org/services/residential-treatment/cfhc/","37.5731196","-77.4804217","MH","1","","1","","","","","","","1","1","1","1","1","1","","1","1","","","1","","","","1","","1","","","","","","","","1","","1","1","","1","1","1","1","","1","","","","1","","","","","1","","1","","","","","","","1","1","","","1","","","","","","1","","","","","1","1","","","","","","","","","1","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Henrico Area Mental Health and","Developmental Services","10299 Woodman Road","","Glen Allen","VA","23060","","Henrico","804-727-8500","","804-727-8515","","http://henrico.us/mhds/","37.6539616","-77.493552","MH","1","","","","","","","1","","1","1","1","1","","","1","1","","","1","","1","","","","","1","","","","1","","","1","1","1","","1","1","1","","1","","1","1","1","1","","1","1","","1","1","1","1","","","","","1","","","","1","1","","","","","","1","1","1","","1","1","1","","","1","1","1","","","","","1","1","1","1","","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","",""
