name1,fips,county,latitude,longitude,type_facility,SHORT_FIPS,count,Court,CSB,DBHDS
Inova Kellar Center,51059,Fairfax,38.8588219,-77.3323527,SA,59,14,Fairfax County,Fairfax-Falls Church,2
Engedi Therapy Services PLLC,51700,Newport News City,37.0828212,-76.4814591,MH,700,4,Newport News,Hampton-Newport News,5
Gordon Wellness LLC,51700,Newport News City,37.0835915,-76.478035,SA,700,4,Newport News,Hampton-Newport News,5
Winchester Community MH Center Inc,51840,Winchester City,39.1652632,-78.1722137,MH,840,2,Winchester,Northwestern,1
Colonial Behavioral Health,51199,York,37.138201,-76.456747,MH,199,2,York,Colonial Behavioral Health,5
Colonial Behavioral Health,51199,York,37.1382204,-76.4556629,SA,199,2,York,Colonial Behavioral Health,5
Victoria Transcultural Clinical Center,51600,Fairfax,38.860888,-77.3053835,MH,600,1,Fairfax City,Fairfax-Falls Church,2
Family Preservation Services,51700,Hampton City,37.0828645,-76.4652478,MH,700,4,Newport News,Hampton-Newport News,5
Western Tidewater Comm Servs Board,51800,Suffolk City,36.7787555,-76.5806606,MH,800,2,Suffolk,Western Tidewater,5
John S Crandell PhD PC,51840,Winchester City,39.1821534,-78.1650161,SA,840,2,Winchester,Northwestern,1
Health Connect America,51059,Fairfax,38.7693853,-77.1327368,MH,59,14,Fairfax County,Fairfax-Falls Church,2
Western Tidewater CSB,51800,Suffolk City,36.728215,-76.585468,MH,800,2,Suffolk,Western Tidewater,5
Grafton Inc,51043,Clarke,39.1432427,-77.942975,MH,43,1,Clarke,Northwestern,1
Multicultural Clinical Center,51059,Fairfax,38.8058496,-77.1711814,MH,59,14,Fairfax County,Fairfax-Falls Church,2
Inova Fairfax Hospital,51059,Fairfax,38.8572,-77.2278068,MH,59,14,Fairfax County,Fairfax-Falls Church,2
Fairfax/Falls Church Comm Servs Board,51059,Fairfax,38.8637622,-77.2341098,MH,59,14,Fairfax County,Fairfax-Falls Church,2
Family and Youth Foundation,51650,Hampton City,37.0334589,-76.4152026,MH,650,7,Hampton,Hampton-Newport News,5
Potomac Center Inc,51510,Alexandria City,38.8178229,-77.1277322,MH,510,4,Alexandria,Alexandria,2
Finding Solutions Counseling Centers,51107,Loudoun,39.0216795,-77.4769374,SA,107,6,Loudoun,Loudon County,2
Mental Health Support Services,51650,Hampton City,37.0551592,-76.3979942,SA,650,7,Hampton,Hampton-Newport News,5
Riverside Behavioral Health Center,51650,Hampton City,37.0537819,-76.3954699,MH,650,7,Hampton,Hampton-Newport News,5
Hampton Newport News CSB,51650,Hampton City,37.0568191,-76.3883507,MH,650,7,Hampton,Hampton-Newport News,5
Dominion Choices Adol PHP/IOP,51059,Fairfax,38.8698411,-77.1703546,MH,59,14,Fairfax County,Fairfax-Falls Church,2
Center for Child and Family Services,51650,Hampton City,37.0465674,-76.3829913,MH,650,7,Hampton,Hampton-Newport News,5
Mahogany Projek LLC,51650,Hampton City,37.0465674,-76.3829913,MH,650,7,Hampton,Hampton-Newport News,5
HCA Dominion Hospital,51059,Fairfax,38.869875,-77.157691,MH,59,14,Fairfax County,Fairfax-Falls Church,2
Northern Virginia Family Service,51059,Fairfax,38.8727611,-77.160305,MH,59,14,Fairfax County,Fairfax-Falls Church,2
Domariann Health and Wellness Group,51510,Alexandria City,38.807167,-77.046279,SA,510,4,Alexandria,Alexandria,2
County of Loudoun MHSADS,51107,Loudoun,39.025427,-77.4080665,MH,107,6,Loudoun,Loudon County,2
Alexandria Community Services Board,51510,Alexandria City,38.8123827,-77.0445004,MH,510,4,Alexandria,Alexandria,2
Sagebrush Treatment Inc,51059,Fairfax,38.9276107,-77.2172977,SA,59,14,Fairfax County,Fairfax-Falls Church,2
Center for Discovery,51510,Fairfax,38.8126936,-77.0404347,MH,510,4,Alexandria,Alexandria,2
Health Connect America,51107,Loudoun,39.0373216,-77.4127297,MH,107,6,Loudoun,Loudon County,2
Multicultural Clinical Center,51107,Loudoun,39.0354655,-77.4034479,MH,107,6,Loudoun,Loudon County,2
Phoenix Houses of the Mid Atlantic,51013,Arlington,38.8694434,-77.1000128,SA,13,2,Arlington,Arlington County,2
Integrated Health Services LLC,51650,Hampton City,37.0256708,-76.3412514,MH,650,7,Hampton,Hampton-Newport News,5
County of Loudoun MHSADS,51107,Loudoun,39.1143262,-77.5405219,MH,107,6,Loudoun,Loudon County,2
Arlington County Behavioral Healthcare,51013,Arlington,38.8735526,-77.0842465,SA,13,2,Arlington,Arlington County,2
Mount Rogers Community Services Board,51035,Galax City,36.7006973,-80.8508732,MH,35,1,Carroll,Mount Rogers,3
North Spring Behavioral Healthcare,51107,Loudoun,39.1458809,-77.5465238,MH,107,6,Loudoun,Loudon County,2
Maryview Behavioral Medicine Center,51740,Portsmouth City,36.8360332,-76.3472422,SA,740,6,Portsmouth,Portsmouth,5
Bon Secours Maryview Medical Center,51740,Portsmouth City,36.8360332,-76.3472422,MH,740,6,Portsmouth,Portsmouth,5
Community Based Clinical Services,51740,Portsmouth City,36.8173265,-76.3551335,SA,740,6,Portsmouth,Portsmouth,5
A Richards Csl and Psychotherapy,51740,Portsmouth City,36.8321654,-76.3477419,SA,740,6,Portsmouth,Portsmouth,5
Portsmouth Behavioral Healthcare Servs,51740,Portsmouth City,36.833835,-76.321109,MH,740,6,Portsmouth,Portsmouth,5
Timber Ridge School,51069,Frederick,39.376208,-78.311558,MH,69,2,Frederick,Northwestern,1
Childrens Hospital of the KD,51710,Norfolk City,36.8621682,-76.3020325,MH,710,6,Norfolk,Norfolk,5
Harbor Point Behavioral Health Center,51740,Portsmouth City,36.8404739,-76.3077329,MH,740,6,Portsmouth,Portsmouth,5
Family Preservation Services,51640,Galax City,36.6603153,-80.9247268,MH,640,1,Galax,Mount Rogers,3
In Home Clinical and Casework Services,51710,Norfolk City,36.8634497,-76.279862,MH,710,6,Norfolk,Norfolk,5
Norfolk Community Services Board,51710,Norfolk City,36.911488,-76.249641,MH,710,6,Norfolk,Norfolk,5
Wythe Youth and Family Services,51197,Wythe,36.9469714,-81.0877898,MH,197,1,Wythe,Mount Rogers,3
Chesapeake Integrated,51550,Chesapeake City,36.7355808,-76.2469162,MH,550,2,Chesapeake,Chesapeake,5
Family Preservation Services,51550,Chesapeake City,36.765854,-76.229978,MH,550,2,Chesapeake,Chesapeake,5
Barry Robinson Center,51710,Norfolk City,36.8477524,-76.1924948,MH,710,6,Norfolk,Norfolk,5
Barry Robinson Center,51710,Norfolk City,36.8477524,-76.1924948,SA,710,6,Norfolk,Norfolk,5
Kempsville Center for Behavioral Hlth,51710,Norfolk City,36.853049,-76.1896491,MH,710,6,Norfolk,Norfolk,5
Brighter Futures Inc,51810,Virginia Beach City,36.797998,-76.17505,MH,810,5,Virginia Beach,Virginia Beach,5
Adult Outpatient Services/Pembroke 6,51810,Virginia Beach City,36.8448188,-76.1416437,SA,810,5,Virginia Beach,Virginia Beach,5
Virginia Beach Dept of Human Services,51810,Virginia Beach City,36.8448188,-76.1416437,MH,810,5,Virginia Beach,Virginia Beach,5
Mental Health Substance Abuse Division,51810,Virginia Beach City,36.8448188,-76.1416437,SA,810,5,Virginia Beach,Virginia Beach,5
Recovery for the City International,51810,Virginia Beach City,36.8420577,-76.0695392,SA,810,5,Virginia Beach,Virginia Beach,5
Mount Rogers Community Services Board,51077,Grayson,36.6195754,-81.1517284,MH,77,1,Grayson,Mount Rogers,3
Cumberland Mountain Comm Servs Board,51185,Tazewell,37.1147246,-81.526185,MH,185,3,Tazewell,Cumberland Mountain,3
Family Preservation Services,51185,Tazewell,37.0633021,-81.7396671,MH,185,3,Tazewell,Cumberland Mountain,3
Cumberland Mountain Comm Servs Board,51185,Tazewell,37.009556,-81.7892137,MH,185,3,Tazewell,Cumberland Mountain,3
Cumberland Mountain Comm Servs Board,51027,Buchanan,37.2856452,-82.0702976,MH,27,1,Buchanan,Cumberland Mountain,3
Highlands Community Services Board,51191,Washington,36.7285545,-81.9480615,MH,191,2,Washington,Highlands,3
Highlands Community Services Board,51191,Washington,36.7107789,-81.9919142,MH,191,2,Washington,Highlands,3
Cumberland Mountain Comm Servs Board,51167,Russell,36.9043175,-82.0773554,MH,167,1,Russell,Cumberland Mountain,3
Highlands Community Services Board,51520,Bristol,36.6072575,-82.1763505,MH,520,1,Bristol,Highlands,3
Health Connect America,51720,Norton City,36.9345826,-82.6275906,MH,720,1,Norton,Planning District One,3
Frontier Health,51169,Scott,36.6064686,-82.5665133,MH,169,1,Scott,Planning District One,3
Frontier Health,51195,Wise,36.8784637,-82.737736,MH,195,1,Wise,Planning District One,3
Family Preservation Services,51105,Lee,36.764559,-83.0315332,MH,105,2,Lee,Planning District One,3
Frontier Health,51105,Lee,36.6877219,-83.1047709,MH,105,2,Lee,Planning District One,3
