"name1","name2","street1","street2","city","state","zip","zip4","county","phone","intake_prompt","intake1","intake2","website","latitude","longitude","type_facility","mh","psy","rtcc","rtca","ores","ph","omh","cmhc","msmh","ipt","cft","gt","cbt","dbt","bmt","idd","tt","at","ect","tele","smon","smpd","smop","hi","res","phdt","op","vamc","sma","osg","lmg","tbg","ih","sf","md","mc","si","pi","mi","smha","swfs","scjj","sef","osf","clf","csbg","cmhg","vaf","cit","wi","ss","pa","ah","sp","co","gl","vet","adm","mf","cj","se","hv","trma","sed","smi","alz","ptsd","tbi","tay","ped","act","icm","cm","cdm","peer","coot","dec","es","fpsy","hs","imr","ipc","lad","nrt","nsc","prs","stu","sps","semp","sh","tpc","tcc","vrs","chld","yad","adlt","snr","itu","pvtp","pvtn","fqhc","vo","sumh","ccbhc","chlor","drope","fluph","halop","loxap","perph","pimoz","proch","thiot","thior","trifl","aripi","asena","brexp","carip","cloza","ilope","luras","olanz","olanzf","palip","queti","rispe","zipra","crt","emdr","kit","tms","peon","peoff","fg","pcf","dv","pefp","hivt","shb","shc","stdt","tbs","aot","ptm","msnh","f17","f19","f25","f28","f30","f31","f35","f36","f37","f4","f42","f43","f47","f66","f67","f70","f81","f92","n13","n18","n23","n24","n40"
"Madeline Centre","","18697 Forest Road","","Lynchburg","VA","24502","","Lynchburg City","434-239-0003","","","","http://www.madelinecentre.com","37.384861","-79.241471","MH","1","","","","","","1","","","1","","","1","","1","","1","1","","","","1","","","","1","1","","","","","","","1","1","","","1","","","1","1","1","","1","","","","","","","1","","","1","1","","","","1","1","","1","1","1","","1","1","1","1","","","1","","","1","","","1","","","","","","","1","","","","","","1","","1","1","1","1","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Family Preservation Services","Lynchburg Office","18321 Forest Road","","Lynchburg","VA","24502","","Lynchburg City","434-528-9711","","","","http://fpscorp.com/","37.3816194","-79.24604","MH","1","","","","","","1","","","1","1","1","1","1","1","","1","1","","","1","","","","","","1","","","","","","","1","1","","1","1","1","1","1","1","","1","1","","","","1","","","","","","","","","","","","1","","1","1","1","","1","1","1","","","","","","","1","","","1","","","","","","","","","1","","","","","","1","1","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EHS Lynchburg","","17835 Forest Road ","Suite A","Forest","VA","24551","","Bedford","434-582-1305","","","","http://","37.374634","-79.248849","MH","1","","","","","","1","","","","","","","","","","","","","","","1","","","","","1","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
"Region Ten Community Services Board","Fluvanna County","13623 James Madison Highway","","Palmyra","VA","22963","","Fluvanna","434-589-8276","","","","http://www.regionten.org/","37.8620499","-78.2637883","MH","1","","","","","","","1","","1","","1","1","1","","1","1","","","1","1","","","","","1","1","","","","1","","","1","1","1","1","1","1","1","1","1","1","","1","1","1","","1","1","1","","","","","","","","","","","","","1","1","","","","","","","1","1","","","1","","","","","","","","","","","1","1","","","","","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Region Ten Community Services Board","Wellness Recovery Center","504 Old Lynchburg Road","","Charlottesville","VA","22903","","Charlottesville City","434-972-1876","","434-972-1800","","http://regionten.org","38.0071529","-78.5212721","MH","1","","","1","","","","","","1","","1","1","1","","","1","","","","","1","","","1","","","","","","1","","","1","1","","","","","1","","","","1","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Goochland Powhatan Comm Servs Board","Clinical Services","3910 Old Buckingham Road","","Powhatan","VA","23139","5757","Powhatan","804-598-2200","","","","http://www.gpcsb.org","37.5446087","-77.9191114","MH","1","","","","","","","1","","1","","1","1","1","1","1","1","","","","","1","","","","","1","","","","1","","","1","1","1","1","1","1","1","","","","","1","","1","","1","1","1","1","1","","1","","","","","","","","1","1","1","","1","","","","","","1","","","1","","","","","","","","","","1","1","1","","","","","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Dual Recovery Center","","100 Burnet Street","","Charlottesville","VA","22902","","Charlottesville City","434-970-1451","","434-972-1800","","http://www.regionten.org","38.024022","-78.487295","MH","1","","","","","1","","","","1","","1","","1","","1","","1","","","","1","","","","","1","","","","1","","","1","1","1","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","1","1","","","1","","1","","","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"University of Virginia Medical Center","","1215 Lee Street","","Charlottesville","VA","22908","","Charlottesville City","434-924-0211","Intakes","434-924-5569","434-924-0000","http://www.healthsystem.virginia.edu","38.0311849","-78.4988225","MH","1","1","","","","","","","","1","1","1","","","","","","1","1","","1","","","1","","","","","","","","","","1","1","1","1","1","1","1","1","","","","1","1","1","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","1","","1","","1","","","1","1","1","1","1","","","","1","","","1","1","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"UVA Health Systems","Department of Psychiatric Medicine","101 Hospital Drive","","Charlottesville","VA","22908","","Charlottesville City","434-924-2241","","","","http://uvahealth.com/services/psychiatry","38.0337309","-78.5023507","MH","1","","","","","","1","","","1","","","1","1","1","","1","","1","1","1","","","","","","1","","","","","","","1","1","1","","1","1","","","","","","","","","","1","","1","1","1","","","","","","","","","","","","1","","","","","","","","1","","","","","","1","","","1","","","","","","1","","","","","","","1","1","1","","","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Region Ten Community Services Board","","800 Preston Avenue","","Charlottesville","VA","22903","","Charlottesville City","434-972-1800","","","","http://regionten.org","38.0364492","-78.4888244","MH","1","","","","","","","1","","1","","1","1","1","","1","1","","","1","1","","","","","","1","","","","1","","","1","1","1","1","1","1","1","","1","","1","1","1","1","1","","","1","","","1","1","","","","","","","","","","1","","","","","","","1","1","1","","1","1","","","","1","1","","","1","","1","","","","","1","","","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Empowering Families Program","","901 Preston Avenue","Suite 201","Charlottesville","VA","22903","","Charlottesville City","434-971-8454","","","","http://www.empoweringfamiliesprogram.com","38.0374836","-78.488558","MH","1","","","","","","","1","","1","1","1","1","","1","1","1","1","","1","","1","","","","1","1","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","1","1","1","1","","1","","","","","","","1","","","","1","","1","1","1","1","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Goochland Powhatan Comm Servs Board","","3058 River Road West","","Goochland","VA","23063","","Goochland","804-556-5400","","","","http://www.gpcsb.org/","37.6917162","-77.8838438","MH","1","","","","","","","1","","1","","1","1","1","1","1","1","","","","","1","","","","","1","","","","1","","","1","1","1","1","1","1","1","","","","","1","","1","","1","1","1","1","1","","1","","","","","","","","1","1","1","","1","","","","","","1","","","1","","","","","","","","","","1","1","1","","","","","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Horizon Behavioral Health","Bedford Wellness Center","1409 Ole Dominion Boulevard","","Bedford","VA","24523","","Bedford City","540-586-5429","","434-847-8035","","http://www.horizonbh.org","37.336584","-79.4958445","MH","1","","","","","","1","","","1","","1","1","","","1","","","","","1","","","","","","1","","","1","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","","","","1","","1","","","","","","","","1","1","1","","","","","","","","1","","","1","","","","","1","","","","1","","","","","","","","","1","1","1","1","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Augusta Health","Crossroads Mental Health Unit","78 Medical Center Drive","","Fishersville","VA","22939","","Augusta","540-332-4060","","","540-332-5826","http://www.augustahealth.com","38.094358","-78.986591","MH","1","1","","","","","","","","1","1","1","1","","1","","","1","","","1","","","1","","","","","","","","","","1","1","1","1","1","1","1","","","","1","1","","1","1","1","1","","","1","","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","1","1","","1","","","","","1","","","1","1","1","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Rockbridge Area Community Servs Board","","241 Greenhouse Road","","Lexington","VA","24450","3717","Lexington City","540-463-3141","","","855-222-2046","http://www.racsb.org","37.8034988","-79.4254311","MH","1","","","","","","","1","","1","1","1","1","","1","1","1","","","1","","1","","","","","1","","","1","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","","1","","","","","","","","1","1","1","","","","","","","1","1","","1","1","","","1","1","","1","","","","","1","1","","","","","","1","1","1","1","1","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Danville Pittsylvania Community Servs","(DPCS) Gretna Location","111 Center Street","","Gretna","VA","24557","","Pittsylvania","434-799-0456","","434-793-4922","","http://www.dpcs.org","36.9532019","-79.3615379","MH","1","","","","","","","1","","","","1","","","","1","","","","1","1","","","","","","1","","","","1","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Southside Community Services Board","Halifax Behavioral Health","424 Hamilton Boulevard","","South Boston","VA","24592","","Halifax","434-572-6916","","434-572-2936","","http://www.sscsb.org","36.7147495","-78.9143853","MH","1","","","","","","","1","","1","1","1","","","","1","","","","1","","1","","","","","1","","","","1","","","1","1","1","1","1","1","1","","","","1","1","1","1","","1","1","1","","","","1","","","","","","","","","","","","","","","","","","1","","1","1","","","","","","","","","","","1","1","","","","","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"PACT","","85 Sangers Lane","","Staunton","VA","24401","","Staunton City","540-886-7100","","","","http://www.myvalleycsb.org","38.1273628","-79.0300873","MH","1","","","","","","","1","","1","","","1","","","1","1","","","","","1","","","","","1","","","","1","","","1","1","1","1","1","1","1","","","","1","1","","1","","1","1","","","1","1","1","","","","","","","","","","1","","","","","","1","1","1","","","1","","","1","","","","","","","","","1","","1","","","","","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Valley Community Services Board","","85 Sangers Lane","","Staunton","VA","24401","","Staunton City","540-887-3200","","","","http://www.myvalleycsb.org","38.128134","-79.030774","MH","1","","","","","","","1","","1","1","1","1","","","1","1","","","1","","1","","","","","1","","","","1","","","1","1","1","","1","1","1","","","","1","1","","1","","1","1","","","1","1","","","","","","","","","","1","1","","","","","","1","1","1","","","1","","","1","","","","","","","1","","1","","1","","","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Sentara Halifax Behavioral Health","","504 Wilborn Avenue","","South Boston","VA","24592","","Halifax","434-517-3651","","","","http://www.sentara.com/halifax-southern-virginia/medicalservices/services/behavioral-health.aspx","36.6988835","-78.9016607","MH","1","","","","","","1","","","1","1","1","1","1","1","1","","","","1","1","","","","","1","1","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","1","","1","","1","","","","","1","","","","","","","","","","","","","","1","","1","1","1","1","","1","","","","","","","","","","","","","1","1","1","1","","","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Region Ten Community Services Board","Louisa Counseling Services","101 Ashley Street","","Louisa","VA","23093","","Louisa","540-967-2880","","","","http://www.regionten.org","38.0228004","-78.0030824","MH","1","","","","","","","1","","1","","1","1","1","","1","1","","","1","1","","","","","1","1","","","","1","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","","","1","1","","","","","","","1","1","","","1","","","","","","","","","","","1","","","1","","","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Mecklenburg Behavioral Health Center","Southside Community Services Board","523 Madison Street","","Boydton","VA","23917","","Mecklenburg","434-738-0154","","","","http://www.sscsb.org","36.667559","-78.3873778","MH","1","","","","","","","1","","1","1","1","","","","1","","","","1","","1","","","","","1","","","","1","","","1","1","1","1","1","1","1","","","","1","1","1","1","","1","1","1","","","","1","","","","","","","","","","","","","","","","","","1","","1","1","","","","","","","","","","","1","1","","","","","","","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Gateway Homes Inc","","11901 Reedy Branch Road","","Chesterfield","VA","23838","","Chesterfield","804-767-0292","","804-896-1398","","http://gatewayhomes.org","37.3015846","-77.6002216","MH","1","","","1","","","","","","1","1","1","1","1","1","1","","1","","1","","1","","","1","","1","","","","","","","1","1","1","","1","","1","","","","","","","","","1","","","","","","1","","","","","1","","","","","1","","","","","","","","1","1","1","1","1","1","1","1","","1","","1","1","1","1","","1","1","","1","1","","1","1","1","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Family Preservation Services","Richmond","804 Moorefield Park Drive","Suite 108","Richmond","VA","23236","","Chesterfield","804-231-1350","","","","http://www.fpscorp.com","37.5014294","-77.5808526","MH","1","","","","","","","","","1","1","","1","","1","","1","","","","","1","","","","","1","","","","","","","1","1","","","1","","","1","","","1","","","","","1","","","1","","","","","","","","","","","","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
"Region Ten Community Services Board","Greene County Office","9963 Spotswood Trail","","Stanardsville","VA","22973","","Greene","434-985-5220","","","","http://regionten.org","38.2864185","-78.4183309","MH","1","","","","","","","1","","1","","1","1","1","","1","1","","","1","1","","","","","1","1","","","","1","","","1","1","1","1","1","1","1","","1","","1","1","1","1","","1","1","1","","","","","","","","","","","","","1","1","","","","","","","1","1","","","1","","","","","","","","","","","1","1","","","","","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Family Insight","Richmond","7113 Three Chopt Road","Suite 301","Richmond","VA","23226","","Richmond City","804-562-9997","","","","http://familyinsight.net","37.5928428","-77.5322686","MH","1","","","","","","","1","","1","1","1","1","1","1","1","1","","","1","","1","","","","","1","","","","","","","1","1","","1","1","1","1","1","1","","","1","","","","1","1","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","","","","","1","","1","","","1","","1","","","","","","","","","","","","","1","1","1","1","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chesterfield Community Services Board","","6801 Lucy Corr Boulevard","","Chesterfield","VA","23832","","Chesterfield","804-748-1227","","804-768-7318","","http://www.chesterfield.gov","37.3823369","-77.505999","MH","1","","","","","","","1","","1","","1","1","1","1","1","1","","","","","1","","","","","1","","","","1","","","1","1","1","1","1","1","1","1","","","","1","1","1","1","1","","","","1","1","1","","","","","","","","","","","","","","","","1","1","1","","1","1","","","1","","","1","","","","1","1","1","1","1","","","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Parham Doctors Hospital","Adult Mental Health PHP","7702 East Parham Road","MOB 3 Suite 205-A","Henrico","VA","23294","","Henrico","804-672-4380","","","","http://parhamdoctors.com/service/behavioral-health","37.63182","-77.5265609","MH","1","","","","","1","","","","","","1","","","","1","1","1","","","1","","","","","1","","","","","","","","1","1","1","1","1","1","1","","","","1","1","1","1","","","","","","1","","1","","","","","","","","","","","","","","","","","","1","1","","","","","","","1","","","","","","","1","","","","","","","1","1","1","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Parham Doctors Hospital","Behavioral Health Unit/Inpatient","7700 East Parham Road","5th Floor","Henrico","VA","23294","","Henrico","804-672-4374","Intakes","804-672-4374 x2","877-886-7026 x1","http://www.henricodoctors.com","37.631685","-77.525467","MH","1","1","","","","","","","","","","1","","","","1","1","1","","","1","","","1","","1","","","","","","","","1","1","1","1","1","1","1","","","","1","1","1","1","","1","1","","","1","","","","","","","","","","","","","","","","","","","1","1","1","","","","","","","1","","","1","1","","1","1","","","","1","","","1","1","1","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Bon Secours Saint Marys Hospital","","5801 Bremo Road","","Richmond","VA","23226","","Richmond City","804-285-2011","Intakes","804-287-7836","804-281-8266","http://bonsecours.com","37.5838419","-77.5132539","MH","1","1","","","","","","","","1","1","1","1","1","1","","","1","","","1","","","1","","","1","","","","","","","1","1","1","","1","1","1","","","","","","","1","","","1","1","","1","","1","","","","","","1","","","","1","","","","","","","","1","","1","","","","1","","","","","1","1","","1","1","","","","1","","","1","1","1","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
